id,categorie,subject,urgence,synthese
385,Problème d’accès / authentification,Réinitialisation du mot de passe VPN,Modérée,Le client rencontre des difficultés pour réinitialiser son mot de passe VPN. Il n'a pas reçu le lien de réinitialisation. Il est nécessaire de le guider pour réinitialiser son accès.
386,Demande administrative,Demande de badge d’accès pour nouvel employé,Modérée,"Demande de badge d'accès pour un nouvel employé, M. Jean Dupont, commençant le 12 novembre. Demandez les documents nécessaires et le délai de livraison."
387,Problème technique informatique,Incident critique : panne totale du système de pointage en salle de réunion,Critique,"Email concernant une panne totale du système de pointage en salle de réunion, empêchant les employés de déclarer leur présence et de commencer les réunions. L'urgence est critique car il s'agit d'un problème technique informatique qui empêche les activités des employés."
388,Problème technique informatique,Panne du serveur de messagerie interne,Critique,Problème technique majeur avec le serveur de messagerie interne. Il est impératif de rétablir le service rapidement.
389,Problème technique informatique,Erreur 500 lors de l'accès à l'application de gestion des stocks,Élevée,"L'utilisateur Paul Martin a signalé un problème technique sur l'application de gestion des stocks, avec une erreur 500 lors de l'accès à l'application. Le problème se produit uniquement sur les postes de l'entrepôt et a déjà été tenté de résoudre en redémarrant les machines. Il est nécessaire de vérifier le serveur."
390,Problème d’accès / authentification,Mot de passe oublié sur le portail intranet,Modérée,L'utilisateur Marie Leclerc a un problème d'accès au portail intranet en raison d'un mot de passe oublié. Il a essayé de réinitialiser son mot de passe mais n'a pas reçu de notification. Il est nécessaire de lui envoyer une nouvelle demande de réinitialisation de mot de passe.
391,Demande administrative,Demande de mise à jour des coordonnées bancaires,Faible,Demande de mise à jour des coordonnées bancaires associées à un compte fournisseur. Les nouvelles coordonnées sont fournies.
392,Problème technique informatique,Système de facturation interne hors service,Critique,"Problème critique avec le système de facturation interne (module FacturePro), empêchant la création et la consultation des factures. Cela entraîne un arrêt complet du processus de paiement et risque de pénalités. Une intervention immédiate est nécessaire pour rétablir le service."
393,Problème d’accès / authentification,Problème d’authentification VPN,Élevée,Problème d'accès au VPN avec erreur d'authentification. L'utilisateur a confirmé que son mot de passe est correct et a essayé de le réinitialiser sans succès. La situation bloque l'accès aux dossiers partagés nécessaires à une réunion prochaine. Aide urgente requise.
394,Bug ou dysfonctionnement d’un service,Bug sur le portail intranet – formulaire de congé non enregistré,Élevée,Le message indique un bug sur le portail intranet concernant la soumission de demande de congé. Le problème persiste après des tentatives de rafraîchissement de la page et de déconnexion/reconnexion. Il est donc nécessaire de vérifier s'il y a un problème technique informatique d'urgence.
395,Problème technique informatique,Imprimante réseau ne fonctionne pas,Modérée,L'utilisateur a un problème d'impression sur l'imprimante réseau 3D-Printer-01. Le papier est bien chargé mais l'imprimante indique un message d'erreur. L'utilisateur a déjà essayé de redémarrer l'imprimante et son ordinateur sans succès.
396,Demande administrative,Demande de copie de facture,Faible,Demande de copie de facture numéro 12345 émise le 12 mars 2025 pour transmission à son service comptable. Demande à être envoyée par email ou à savoir où la récupérer.
397,Problème technique informatique,Panne majeure du système de gestion de données,Critique,Email concernant une panne majeure du système de gestion de données avec une urgence critique. Une intervention immédiate est nécessaire pour rétablir le fonctionnement du système.
398,Problème d’accès / authentification,Problème d’authentification sur le portail client,Critique,Problème critique d'accès à notre portail client en raison d'un problème d'authentification. Il est essentiel de le résoudre rapidement pour minimiser l'impact sur notre activité.
399,Demande de support utilisateur,Demande de support pour un logiciel,Élevée,"Demande d'assistance pour un problème d'exportation de données dans le logiciel XYZ, qui est considéré comme urgent car il empêche le terme des rapports quotidiens."
400,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Élevée,"Le client est en difficulté pour se connecter au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres et son mot de passe, mais ne parvient pas à établir de connexion. Il demande de l'aide pour résoudre ce problème."
401,Demande administrative,Demande de renseignements sur les formations proposées,Faible,Demande de renseignements sur les formations proposées par l'entreprise. Pas d'urgence.
402,Problème technique informatique,Panne du serveur principal de l'entreprise,Critique,"Le serveur principal de l'entreprise est hors service, ce qui entraîne une interruption totale des activités. Une intervention immédiate est nécessaire pour rétablir le service et minimiser les pertes."
403,Problème d'accès / authentification,Problème d'accès aux données confidentielles,Critique,Problème critique de sécurité des données confidentielles. Il est nécessaire d'agir immédiatement pour résoudre ce problème.
404,Demande de support utilisateur,Demande de support pour une application métier,Modérée,Demande de documentation ou tutoriel pour l'application de gestion de projet en raison de problèmes rencontrés lors de la saisie des données.
405,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Élevée,"Problème d'accès au réseau Wi-Fi de l'entreprise. L'utilisateur a déjà vérifié ses paramètres et son mot de passe, mais ne parvient pas à accéder au réseau. Il nécessite de l'aide pour résoudre ce problème."
406,Demande de support utilisateur,Demande de renseignements sur les formations disponibles,Faible,Demande de renseignements sur les formations proposées par l'entreprise. Le demandeur souhaite recevoir un catalogue ou un lien vers le site web.
407,Problème technique informatique,Panne majeure du système de gestion de production,Critique,"Email concernant une panne majeure du système de gestion de production, nécessitant une intervention immédiate pour diagnostiquer et résoudre le problème. La perte de temps est critique pour l'entreprise."
408,Problème d’accès / authentification,Problème d'accès aux données confidentielles,Élevée,Problème d'accès aux données confidentielles pour plusieurs employés. Il est nécessaire d'intervenir rapidement pour résoudre ce problème et rétablir l'accès à ces données.
409,Demande de support utilisateur,Demande de support pour une application métier,Modérée,Demande de support pour une fonctionnalité spécifique de l'application de gestion de projet. L'utilisateur a suivi les tutoriels en ligne mais rencontre toujours des difficultés. Il demande un appel téléphonique ou un rendez-vous pour être formé à cette fonctionnalité.
410,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,"Le client a un problème de connexion au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres et son mot de passe, mais ne parvient pas à établir de connexion. Il demande de l'aide pour résoudre ce problème."
411,Demande administrative,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations disponibles. Pas d'urgence.
412,Problème technique informatique,Panne du système de gestion de données,Critique,"Email concernant une panne majeure du système de gestion de données, nécessitant une intervention immédiate pour minimiser les pertes."
413,Problème d’accès / authentification,Problème d’authentification pour un service essentiel,Élevée,"Le client rencontre un problème d'authentification pour un service essentiel à son travail. Il a déjà essayé de réinitialiser son mot de passe, mais le problème persiste. Il demande une traitement avec urgence."
414,Demande de support utilisateur,Demande d’assistance pour la configuration d’un nouvel ordinateur,Modérée,Demande d'assistance pour la configuration d'un nouvel ordinateur. L'utilisateur a besoin d'instructions ou d'être mis en contact avec quelqu'un pour l'aider.
415,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,Le client a un problème de connexion au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres et est sûr que ses informations d'authentification sont correctes. Il demande de l'aide pour résoudre ce problème.
416,Demande administrative,Demande de renseignements sur les formations disponibles,Faible,Demande de renseignements sur les formations disponibles. Pas d'urgence.
417,Problème technique informatique,Panne du système de gestion de production,Critique,"Email concernant une panne du système de gestion de production, avec une urgence critique. Il est nécessaire de déclencher une procédure d'urgence pour rétablir le système."
418,Problème d’accès / authentification,Problème d'accès aux données sensibles,Critique,"Problème d'accès aux données sensibles urgents, nécessitant une intervention rapide pour résoudre le blocage des opérations."
419,Demande de support utilisateur,Demande de support pour un logiciel,Modérée,"Demande de support pour un logiciel spécifique, suivie de tutoriels en ligne mais rencontre toujours des difficultés. Demande de contact avec quelqu'un pour fournir un support personnalisé."
420,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,"Le client a un problème de connexion au réseau Wi-Fi de l'entreprise. Il a déjà redémarré son ordinateur et vérifié que le mot de passe est correct, mais il n'arrive toujours pas à se connecter. Il demande de l'aide pour résoudre ce problème."
421,Demande de support utilisateur,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations en développement web et les créneaux disponibles. Pas d'urgence.
422,Problème technique informatique,Panne totale du serveur de production,Critique,"Email concernant une panne totale du serveur de production de l'application e-commerce, avec des commandes bloquées et le site inaccessible. L'équipe Ops a signalé un crash du processus de paiement et demande une intervention immédiate."
423,Problème d’accès / authentification,Blocage de compte utilisateur après tentative de connexion,Élevée,Le compte d'utilisateur de M. Dupont a été bloqué après plusieurs tentatives de connexion. Il est nécessaire de réactiver le compte ou de fournir un lien de réinitialisation pour qu'il puisse accéder à l'outil de facturation.
424,Problème technique informatique,Erreur de connexion à la base de données interne,Élevée,Il y a un problème technique informatique avec l'application de gestion des stocks qui ne peut plus se connecter à la base de données. Les utilisateurs reçoivent un message d'erreur 500 et les mises à jour ne passent pas. Il est nécessaire de vérifier la configuration de la base.
425,Bug ou dysfonctionnement d'un service,Petite anomalie dans le tableau de bord,Modérée,Marc a signalé une petite anomalie dans le tableau de bord du CRM. Il y a un message d'erreur lorsqu'on clique sur l'onglet 'Rapports' et cela gêne la navigation. Il est demandé de vérifier le script de chargement.
426,Demande administrative,Demande de fournitures de bureau,Faible,Demande de fournitures de bureau pour le service marketing. La disponibilité et le délai de livraison doivent être confirmés.
427,Problème technique informatique,Attaque de sécurité en cours : données sensibles menacées,Critique,Email concernant une attaque de sécurité en cours sur les données sensibles. Il est urgent de mobiliser une équipe de sécurité pour intervenir immédiatement.
428,Problème technique informatique,Problème de serveur : impossibilité d’accéder aux données,Critique,Problème critique de serveur de données bloquant toutes les opérations. Il est nécessaire d'intervenir immédiatement pour résoudre le problème et restaurer l'accès aux données.
429,Bug ou dysfonctionnement d’un service,Bug dans l’application de gestion de projet,Élevée,Le message est une demande de support pour un bug dans l'application de gestion de projet. L'utilisateur a perdu ses saisies et a déjà essayé de nettoyer les cookies sans succès. L'urgence est élevée car il s'agit d'un problème qui empêche l'utilisateur de travailler.
430,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Élevée,"L'utilisateur est en difficulté pour se connecter au réseau Wi-Fi de l'entreprise. Il a déjà redémarré son ordinateur et vérifié que le Wi-Fi est activé, mais le problème persiste. Il demande de l'aide pour résoudre ce problème."
431,Demande de support utilisateur,Demande de renseignements sur les formations disponibles,Faible,Demande de renseignements sur les formations en développement web. Le demandeur souhaite recevoir un catalogue des formations disponibles ou être redirigé vers le site web approprié.
432,Problème technique informatique,Panne du serveur de messagerie interne,Critique,"Le serveur de messagerie interne est hors service depuis 14h, empêchant les équipes de communiquer. Il y a besoin d'une intervention rapide."
433,Demande administrative,Demande de mise à jour des coordonnées bancaires,Faible,Demande de mise à jour des coordonnées bancaires de notre compte fournisseur. Le formulaire est joint.
434,Bug ou dysfonctionnement d'un service,Erreur 500 lors de la consultation des rapports mensuels,Élevée,L'utilisateur Marie a signalé un bug sur le portail interne qui bloque la préparation de la réunion de fin de trimestre. Il est nécessaire de vérifier et de résoudre le problème d'urgence.
435,Problème d’accès / authentification,Problème d'authentification sur l'outil de gestion des factures,Élevée,Le client Jean Dupont a un problème d'accès à l'outil de gestion des factures en raison d'un problème d'authentification. Il a déjà tenté de réinitialiser son mot de passe mais le lien ne fonctionne pas. Il est nécessaire de résoudre ce problème pour que le client puisse accéder à son outil de gestion des factures.
436,Problème technique informatique,Incident critique : perte de données sur le serveur de sauvegarde,Critique,L'équipe IT a signalé une perte de données sur le serveur de sauvegarde après la mise à jour du logiciel. Ils demandent une restauration immédiate et une analyse de la cause. Priorité urgente.
437,Problème technique informatique,Violation de données sensibles - action urgente requise,Critique,"Email concernant une fuite de données sensibles provenant de la base de données client. Il est impératif de bloquer l’accès à la base, de lancer une enquête interne et de notifier les autorités compétentes dans les 24 heures."
438,Problème technique informatique,Arrêt du serveur de production - impact sur plusieurs services,Critique,"Problème technique majeur avec l'arrêt du serveur de production (srv-prod-01). L'équipe IT a signalé que les équipes de facturation et de logistique ne peuvent plus accéder aux bases de données, ce qui entraîne un arrêt complet des processus de facturation et de suivi des commandes. L'équipe IT a tenté de redémarrer le serveur via le portail, mais aucune action n'est prise. L'impact est majeur et nécessite une intervention immédiate."
439,Problème d’accès / authentification,Problème d’accès à l’application RH,Élevée,"Le client a un problème d'accès à l'application RH depuis le 12 mai. Il reçoit un message d'erreur indiquant que son identifiant ou mot de passe est incorrect, mais il affirme que ses informations sont à jour. Il a essayé de réinitialiser le mot de passe, mais le lien ne fonctionne pas. Cette situation bloque l'accès aux fiches de paie. Il est nécessaire d'aider le client pour résoudre ce problème."
440,Bug ou dysfonctionnement d’un service,Petite erreur de mise à jour sur l’intranet,Modérée,Email de Thomas Dupont concernant une erreur de redirection du lien vers le calendrier partagé sur l'intranet. L'erreur n'est pas critique mais gêne la consultation des réunions. Catégorie : Bug ou dysfonctionnement d'un service. Urgence : Modérée.
441,Demande administrative,Demande de fournitures de bureau,Faible,"Laura Martin a demandé des fournitures de bureau pour le service marketing. Elle demande à savoir si les produits sont disponibles et si oui, le délai de livraison."
442,Bug ou dysfonctionnement d’un service,Perte de données critiques suite à un crash du logiciel de gestion,Critique,Email de M. Rousseau concernant une perte de données critiques suite à un crash du logiciel de gestion des stocks (SGS). Il y a besoin d’une restauration ou d’une solution de récupération immédiate.
443,Problème technique informatique,Panne du serveur de messagerie interne,Critique,Problème technique majeur avec le serveur de messagerie interne. Il est nécessaire de traiter en priorité pour rétablir la communication interne et les rapports quotidiens.
444,Bug ou dysfonctionnement d'un service,Erreur de paiement sur la plateforme de facturation,Élevée,L'utilisateur Pierre Martin a signalé une erreur de paiement sur la plateforme de facturation (erreur 502). Il est nécessaire de vérifier si un problème technique est connu pour résoudre ce problème.
445,Problème d’accès / authentification,Impossible de se connecter à l’intranet depuis le bureau,Élevée,"Problème d'accès à l'intranet depuis le bureau 3. La connexion internet et le VPN fonctionnent, mais il y a des échecs de connexion répétés. Il est nécessaire de vérifier le serveur d'authentification."
446,Demande administrative,Demande de congé pour le 12 juin,Faible,Demande de congé pour le 12 juin prochain. Confirmer la possibilité et indiquer la procédure à suivre.
447,Problème technique informatique,Panne du serveur de messagerie interne,Critique,Le serveur de messagerie interne est hors service depuis 3h30. Il y a un blocage des communications internes et des réponses aux clients. Une intervention immédiate est nécessaire.
448,Problème technique informatique,Problème de synchronisation des données sur l'application mobile,Élevée,L'utilisateur Sophie Lefèvre rencontre un problème de synchronisation des données sur l'application mobile. Il est nécessaire de résoudre ce problème pour qu'elle puisse continuer à utiliser l'application.
449,Problème d’accès / authentification,Erreur 500 lors de l'accès à la plateforme de facturation,Élevée,"Problème d'accès à la plateforme de facturation avec erreur 500, persistant même après vidage du cache. Il est nécessaire de vérifier le problème."
450,Problème d’accès / authentification,Mot de passe oublié sur le portail intranet,Modérée,L'utilisateur Marie Curie a un problème d'accès à l'intranet en raison d'un mot de passe oublié. Il a essayé de réinitialiser son mot de passe mais n'a pas reçu le lien. Il est nécessaire de le contacter pour le guider dans le processus de réinitialisation de son mot de passe.
451,Demande administrative,Demande de mise à jour des coordonnées bancaires,Faible,Demande de mise à jour des coordonnées bancaires de notre compte fournisseur. Veuillez confirmer les étapes à suivre.
452,Problème technique informatique,Incident critique : perte de données sur le serveur de sauvegarde,Critique,Email concernant une perte de données sur le serveur de sauvegarde (srv-backup-01) après la dernière mise à jour logicielle. Les équipes de développement et de production sont bloquées et les clients attendent des réponses. Il est impératif de restaurer les sauvegardes ou de récupérer les données perdues.
453,Problème technique informatique,Panne du serveur de messagerie interne,Critique,Problème technique majeur avec le serveur de messagerie interne. Il est nécessaire de redémarrer le serveur ou de mettre en place un plan de secours dès que possible.
454,Bug ou dysfonctionnement d'un service,Erreur de synchronisation des données sur le portail client,Élevée,Le portail client de Thomas Martin présente un problème de synchronisation des données de facturation. Il est nécessaire de vérifier si un problème de serveur ou de base de données affecte le service.
455,Problème d’accès / authentification,Problème d’accès à l’intranet depuis le bureau secondaire,Modérée,"Marie Lefèvre a signalé un problème d'accès à l'intranet depuis le bureau secondaire. Le message d'erreur indique 'Impossible de se connecter au serveur'. Il a été tenté de redémarrer le poste et de vérifier la connexion VPN, mais le problème persiste. Il est demandé de vérifier si un problème connu affecte le serveur d'authentification."
456,Demande administrative,Demande de mise à jour du logiciel de comptabilité,Modérée,Demande de mise à jour du logiciel de comptabilité pour éviter les incompatibilités avec les rapports mensuels. L'équipe de Jean Dupont n'a pas encore effectué la mise à jour sur leurs postes de travail.
457,Problème technique informatique,Panne du serveur principal,Critique,"Email concernant une panne du serveur principal de l'entreprise, nécessitant des procédures d'urgence pour résoudre le problème et assurer la continuité des opérations."
458,Problème d’accès / authentification,Problème d'accès aux données confidentielles,Critique,Problème d'accès aux données confidentielles urgents. Le compte de l'utilisateur a été désactivé par erreur et il ne peut pas accéder aux informations nécessaires pour traiter les dossiers en cours. Il est nécessaire d'intervenir rapidement pour résoudre ce problème et rétablir l'accès.
459,Demande de support utilisateur,Demande de support pour un logiciel,Modérée,Demande de support pour un logiciel utilisé dans l'entreprise. L'utilisateur rencontre des difficultés à comprendre certaines fonctionnalités et demande de contact avec un spécialiste pour assistance personnalisée. L'urgence est modérée.
460,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,"Le client a un problème de connexion au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres et son mot de passe, mais ne parvient pas à établir la connexion. Il demande de l'aide pour résoudre ce problème."
461,Demande administrative,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations disponibles
462,Problème technique informatique,Arrêt complet du serveur de production,Critique,"Email de Sophie Lefèvre concernant un arrêt complet du serveur de production, entraînant une interruption totale des opérations commerciales. Une intervention immédiate est nécessaire pour restaurer le service."
463,Problème technique informatique,Imprimante du bureau 5 ne répond pas,Élevée,L'imprimante du bureau 5 est hors service et bloque les réunions prévues. Il est nécessaire d'envoyer un technicien ou de fournir les étapes de dépannage.
464,Problème technique informatique,Retard dans la réception des emails du service X,Élevée,Email de Lucie Martin concernant un retard dans la réception des emails du service X. Il est nécessaire de vérifier la configuration du serveur de messagerie pour résoudre le problème.
465,Problème d’accès / authentification,Problème de réinitialisation de mot de passe,Modérée,L'utilisateur Marie Curie a un problème de réinitialisation de mot de passe sur le portail interne. Il a cliqué sur le lien 'Réinitialiser' mais il ne fonctionne pas. Il est nécessaire de résoudre ce problème pour qu'elle puisse accéder à son compte.
466,Demande administrative,Demande de badge d'accès supplémentaire,Faible,Demande de badge d'accès supplémentaire pour le poste de chargé de projet de Jean Dupont pour accéder aux salles de réunion de l'étage supérieur. Pas d'urgence.
467,Problème technique informatique,Panne du système de gestion de production,Critique,"Email concernant une panne du système de gestion de production, nécessitant une intervention immédiate pour résoudre le problème et rétablir le système le plus rapidement possible pour minimiser les pertes."
468,Problème d’accès / authentification,Problème d'accès aux données sensibles,Critique,Problème d'accès inapproprié à des données sensibles de l'entreprise. Il est urgent de résoudre ce problème pour assurer la sécurité des données.
469,Demande de support utilisateur,Demande de support pour un logiciel spécifique,Modérée,Demande de support pour un logiciel spécifique dans le département. L'utilisateur a suivi les tutoriels en ligne mais rencontre des difficultés à accomplir certaines tâches. Il demande de l'aide ou d'être mis en contact avec quelqu'un qui pourrait l'aider.
470,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Élevée,"Problème d'accès au réseau Wi-Fi de l'entreprise, nécessitant une intervention rapide."
471,Demande de support utilisateur,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations disponibles. L'utilisateur souhaite savoir quels sont les prochains cours ou ateliers prévus.
472,Problème technique informatique,Panne serveur de production - indisponibilité totale,Critique,Le serveur de production hébergeant notre application de gestion des commandes est hors service depuis 14h30. Il y a une perte de revenus potentielle en raison de cette panne qui bloque l'ensemble des opérations commerciales. Une intervention immédiate est nécessaire pour restaurer le service.
473,Problème technique informatique,Assistance requise pour la migration des données clients,Critique,Email de Sophie Bernard concernant une migration de données clients qui plante à la 3000e entrée avec l'erreur 'Valeur non conforme'. La migration est critique pour la continuité des ventes et une intervention technique immédiate ou un plan d'action est demandé.
474,Bug ou dysfonctionnement d'un service,Erreur de calcul sur la plateforme de facturation,Élevée,Email de Luc Martin concernant une erreur de calcul sur la plateforme de facturation pour le secteur B. Il est nécessaire de vérifier le code de calcul et de corriger le bug pour éviter des factures incorrectes. Urgence élevée.
475,Non classifié,Problème de connexion à l’application interne,Non classée,"{
  ""categorie"": ""Problème d’accès / authentification"",
  ""urgence"": ""Élevée"",
  ""synthese"": ""L'utilisateur Marie Leclerc rencontre un problème de connexion à l'application interne depuis le 12 novembre. L'erreur affichée est ""Identifiant ou mot de passe invalide"", mais elle affirme que ses identifiants sont corrects. Il a déjà essayé de réinitialiser son mot de passe, mais le problème persiste. Il est nécessaire de vérifier si son compte est bien activé et de fournir une solution.""
}"
476,Demande administrative,Demande de mise à jour des coordonnées bancaires,Modérée,"Demande de mise à jour des coordonnées bancaires pour le compte fournisseur XYZ. Les nouvelles coordonnées sont : IBAN : FR76 3000 6000 1234 5678 9012 345, BIC : AGRIFRPP. La mise à jour doit être effectuée dans les plus brefs délais."
477,Problème technique informatique,Interruption totale du service de messagerie pour l’ensemble du siège,Critique,"Problème critique avec le service de messagerie interne (Exchange) depuis 08:15. Aucun e-mail ne passe, ni en envoi ni en réception, et les clients ne peuvent pas accéder à leur boîte mail. Les équipes de production et de support ne peuvent pas communiquer avec les clients, ce qui entraîne des retards majeurs. Veuillez mobiliser immédiatement l’équipe de support réseau pour résoudre cette panne."
478,Problème d’accès / authentification,Problème d’accès au VPN depuis le télétravail,Élevée,Problème d'accès au VPN depuis le télétravail. L'utilisateur ne peut se connecter et l'authentification échoue même après réinitialisation du mot de passe. La situation empêche de travailler sur les projets clients. Il est nécessaire d'intervenir rapidement.
479,Bug ou dysfonctionnement d’un service,Bug : page de connexion du portail intranet ne se charge pas,Élevée,Email de Thomas Martin concernant un bug sur la page de connexion du portail intranet. L'erreur 500 bloque l'accès à plusieurs documents internes. Il a essayé avec différents navigateurs et en mode incognito sans succès. Il demande à savoir si c'est un problème connu ou si il doit contacter le support.
480,Problème technique informatique,Problème d’impression sur le scanner du bureau 3,Modérée,Message de Marie Leclerc concernant un problème de scanner du bureau 3 affichant une erreur de papier en panne malgré le chargement correct. Elle demande un technicien pour vérifier.
481,Demande administrative,Demande de mise à jour de logiciel de facturation,Modérée,Demande de mise à jour du logiciel de facturation pour la région Île-de-France. Demande de confirmation de la date de déploiement et des étapes de mise à jour.
482,Problème technique informatique,Attaque de sécurité : données sensibles exposées,Critique,Email concernant une attaque de sécurité exposant des données sensibles de l'entreprise. La situation est extrêmement urgente et nécessite une intervention immédiate.
483,Problème technique informatique,Problème de serveur : accès aux données compromis,Critique,"Problème critique de serveur avec perte d'accès aux données, affectant la capacité de traiter les commandes. Il est essentiel de rétablir l'accès le plus rapidement possible pour minimiser les pertes."
484,Bug ou dysfonctionnement d'un service,Bug sur le logiciel de gestion de projet,Élevée,"Le message traite d'un bug sur le logiciel de gestion de projet, qui a un impact sur le travail de l'utilisateur et nécessite une intervention rapide."
485,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,Le client a un problème de connexion au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres et est sûr d'avoir saisi le mot de passe correctement. Il demande de l'aide pour résoudre ce problème.
486,Demande administrative,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations disponibles
487,Problème technique informatique,"Panne serveur de production, indisponibilité totale du site e-commerce",Critique,"Email de Philippe Rousseau concernant une panne totale du serveur de production du site e-commerce, avec impact majeur sur les ventes et la réputation. Il demande une intervention immédiate."
488,Bug ou dysfonctionnement d’un service,Application mobile ne se synchronise pas avec le serveur,Élevée,L'application mobile de suivi de commandes ne se synchronise plus avec le serveur après la dernière mise à jour. Les utilisateurs ne voient pas les statuts en temps réel. Une assistance urgente est requise.
489,Bug ou dysfonctionnement d'un service,Erreur 500 lors de l’utilisation du module de facturation,Élevée,L'email de Luc Martin concerne un bug dans le module de facturation qui bloque le processus de clôture mensuelle. Il est donc classé comme une demande de support utilisateur d'urgence élevée.
490,Problème d’accès / authentification,Mot de passe oublié pour l’accès au portail intranet,Modérée,"Demande de réinitialisation de mot de passe pour accès au portail intranet. Pas d'urgence, mais nécessite une action future."
491,Demande administrative,Demande de mise à jour des coordonnées bancaires,Faible,Demande de mise à jour des coordonnées bancaires de notre compte fournisseur. Pas d'urgence.
492,Bug ou dysfonctionnement d’un service,Faille de sécurité détectée dans le système de paiement en ligne,Critique,"Email concernant une faille de sécurité dans le système de paiement en ligne, nécessitant une intervention immédiate."
493,Problème technique informatique,Panne du serveur de données,Critique,"Email concernant une panne du serveur de données, nécessitant une intervention rapide pour rétablir l'accès aux données. Catégorie : Problème technique informatique, urgence : Critique."
494,Problème d’accès / authentification,Problème d'accès au système de gestion de projet,Élevée,Problème d'accès au système de gestion de projet. L'utilisateur a vérifié ses identifiants mais reçoit toujours un message d'erreur. Il faut résoudre ce problème pour que l'utilisateur puisse accéder au système.
495,Problème technique informatique,Petit problème de mise en page sur le site web,Faible,"Le sujet concerne un problème de mise en page sur le site web, qui n'est pas urgent mais peut être amélioré."
496,Demande de support utilisateur,Demande de documentation pour nouvelle version de logiciel,Faible,Demande de documentation pour la nouvelle version de logiciel. Pas urgente.
497,Problème technique informatique,Arrêt complet du système ERP - Incident critique,Critique,"Problème critique avec l'indisponibilité complet du système ERP depuis 15h45, bloquant toutes les opérations de gestion financière et de ressources humaines. Aucun accès n'est possible depuis le portail interne. Les données ne sont pas sauvegardées en temps réel. Une action immédiate est nécessaire."
498,Problème technique informatique,Panne du serveur de production - Service de facturation indisponible,Critique,"Le serveur de production hébergeant le service de facturation est hors ligne depuis 2h30. Les équipes de vente ne peuvent pas générer de factures, ce qui impacte les paiements clients. Il y a besoin d'une intervention immédiate."
499,Problème technique informatique,CRM ne charge pas les fiches clients,Élevée,"Problème technique sur l'application CRM, l'erreur 500 empêche l'accès aux fiches clients. L'erreur ne se produit pas sur le poste de test. Il est nécessaire de vérifier le serveur."
500,Problème d’accès / authentification,Mot de passe oublié pour l'accès VPN,Modérée,Le client a un problème d'accès au VPN en raison d'un mot de passe oublié. Il a déjà tenté de le réinitialiser mais n'a pas reçu d'email. Il est nécessaire de réactiver son accès.
